reaction,value
PDE1,camp_c + h2o_c --> h_c + amp_c
PItex,pi_e <=> pi_p
CYTK1,atp_c + cmp_c <=> adp_c + cdp_c
CYTK2,atp_c + dcmp_c <=> dcdp_c + adp_c
AGPAT160,1hdecg3p_c + palmACP_c --> pa160_c + ACP_c
AGPAT161,hdeACP_c + 1hdec9eg3p_c --> ACP_c + pa161_c
ECA4OALpp,eca4und_p + colipa_p --> h_p + eca4colipa_p + udcpdp_p
O16AP2pp,o16aund_p + o16a2und_p --> h_p + o16a3und_p + udcpdp_p
NODOy,nadph_c + 2 no_c + 2 o2_c --> 2 no3_c + nadp_c + h_c
2AGPE160tipp,2agpe160_p --> 2agpe160_c
L__LACt2rpp,h_p + lac__L_p <=> lac__L_c + h_c
KDOPS,ara5p_c + pep_c + h2o_c --> kdo8p_c + pi_c
GLUt4pp,na1_p + glu__L_p --> glu__L_c + na1_c
SERt2rpp,ser__L_p + h_p <=> ser__L_c + h_c
H2tpp,h2_p <=> h2_c
DCTPD,h_c + h2o_c + dctp_c --> dutp_c + nh4_c
EX_mnl_e,mnl_e --> 
EX_cytd_e,cytd_e --> 
ZN2tpp,zn2_p --> zn2_c
CLPNS140pp,2 pg140_p <=> glyc_p + clpn140_p
GLYC2Pabcpp,h2o_c + atp_c + glyc2p_p --> h_c + glyc2p_c + pi_c + adp_c
EX_23ccmp_e,23ccmp_e --> 
GDMANE,gdpddman_c --> gdpofuc_c
CD2abcpp,h2o_c + atp_c + cd2_c --> h_c + adp_c + cd2_p + pi_c
ENO,2pg_c <=> h2o_c + pep_c
XYLI1,xyl__D_c <=> xylu__D_c
DHMPTR,nadph_c + dhmpt_c + h_c --> thmnp_c + nadp_c
2AGPG160tipp,2agpg160_p --> 2agpg160_c
EX_man_e,man_e --> 
ARGAGMt7pp,arg__L_p + agm_c <=> arg__L_c + agm_p
G1SAT,glu1sa_c <=> 5aop_c
PPTHpp,ppt_p + h2o_p --> pi_p + h2_p
MSO3tex,mso3_e <=> mso3_p
MCTP1App,murein5p5p_p --> ala__D_p + murein5px4p_p
FTHFLi,for_c + atp_c + thf_c --> 10fthf_c + adp_c + pi_c
12DGR140tipp,12dgr140_p --> 12dgr140_c
ACOAD6f,fad_c + tdcoa_c <=> fadh2_c + td2coa_c
MOCOS,mobd_c + mptamp_c + 2 h_c --> h2o_c + cu2_c + amp_c + moco_c
TMAtex,tma_e <=> tma_p
MNNH,mana_c --> 2ddglcn_c + h2o_c
G5SD,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c
PGPP160pp,pgp160_p + h2o_p --> pg160_p + pi_p
DNTPPA,h2o_c + ahdt_c --> h_c + dhpmp_c + ppi_c
S7PI,s7p_c --> gmhep7p_c
XYLt2pp,xyl__D_p + h_p --> h_c + xyl__D_c
PETNT161pp,pe161_p + lipa_p --> 12dgr161_p + enlipa_p
RBK_L1,rbl__L_c + atp_c --> adp_c + ru5p__L_c + h_c
UAGAAT,uacgam_c + 3hmrsACP_c <=> ACP_c + u3aga_c
SBTPD,nad_c + sbt6p_c <=> h_c + nadh_c + f6p_c
LYSDC,lys__L_c + h_c --> 15dap_c + co2_c
LPLIPAL2ATE181,2agpe181_c + pg181_c --> g3pe_c + apg181_c
ADNCYC,atp_c --> camp_c + ppi_c
QUIN2tpp,quin_p <=> quin_c
CRNt7pp,crn_p + gbbtn_c --> gbbtn_p + crn_c
EX_fruur_e,fruur_e --> 
AMPTASECG,h2o_c + cgly_c --> gly_c + cys__L_c
PDH,nad_c + pyr_c + coa_c --> nadh_c + co2_c + accoa_c
ALLtex,all__D_e <=> all__D_p
GAM6Pt6_2pp,gam6p_p + 2 pi_c --> 2 pi_p + gam6p_c
GALUi,utp_c + g1p_c + h_c --> udpg_c + ppi_c
PYRtex,pyr_e <=> pyr_p
CLPNH181pp,clpn181_p + h2o_p --> pg181_p + pa181_p + h_p
NI2tpp,ni2_p --> ni2_c
ARBTtex,arbt_e --> arbt_p
THRA2i,athr__L_c --> acald_c + gly_c
URIK2,uri_c + gtp_c --> gdp_c + h_c + ump_c
I4FE4ST,iscu__4fe4s_c + 4 h_c --> iscu_c + 4fe4s_c
I4FE4SR,iscu__2fe2s2_c + fadh2_c + 2 h_c --> iscu__4fe4s_c + fad_c
EX_mal__D_e,mal__D_e --> 
LPLIPAL1G180pp,h2o_p + 1agpg180_p --> ocdca_p + h_p + g3pg_p
O16AP3pp,o16aund_p + o16a3und_p --> udcpdp_p + h_p + o16a4und_p
EX_glyc3p_e,glyc3p_e --> 
NADH17pp,mqn8_c + nadh_c + 4 h_c --> nad_c + 3 h_p + mql8_c
UPPRT,ura_c + prpp_c --> ppi_c + ump_c
PGPP120,h2o_c + pgp120_c --> pg120_c + pi_c
MN6PP,h2o_c + man6p_c --> man_c + pi_c
FEENTERR1,2 feenter_c + fadh2_c --> 2 fe2_c + fad_c + 2 h_c + 2 enter_c
FEENTERR2,fmnh2_c + 2 feenter_c --> 2 fe2_c + 2 h_c + fmn_c + 2 enter_c
FEENTERR3,2 feenter_c + rbflvrd_c --> 2 fe2_c + 2 h_c + 2 enter_c + ribflv_c
FECRMR1,2 fecrm_c + fadh2_c --> 2 fe2_c + fad_c + 2 h_c + 2 fecrm__un_c
FECRMR2,2 fecrm_c + fmnh2_c --> 2 fe2_c + 2 fecrm__un_c + 2 h_c + fmn_c
FECRMR3,2 fecrm_c + rbflvrd_c --> 2 fe2_c + 2 fecrm__un_c + 2 h_c + ribflv_c
APH180,ocdcap_c + h2o_c --> ocdca_c + pi_c + 2 h_c
APH181,h2o_c + ocdceap_c --> 2 h_c + ocdcea_c + pi_c
23PDE2pp,23cump_p + h2o_p --> h_p + 3ump_p
UPLA4FNF,h2o_c + uLa4fn_c --> uLa4n_c + for_c
BSORy,h_c + nadph_c + btnso_c --> h2o_c + btn_c + nadp_c
BSORx,nadh_c + h_c + btnso_c --> h2o_c + btn_c + nad_c
POAACR,poaac_c + nadh_c --> nad_c + h2o_c + 3amac_c
PLIPA1A120pp,pa120_p + h2o_p --> 2ddecg3p_p + ddca_p
APH160,hdcap_c + h2o_c --> hdca_c + pi_c + 2 h_c
APH161,h2o_c + hdceap_c --> 2 h_c + pi_c + hdcea_c
EX_cbl1_e,cbl1_e --> 
BUTtex,but_e <=> but_p
AACPS8,dca_c + atp_c + ACP_c --> dcaACP_c + amp_c + ppi_c
AACPS9,octa_c + atp_c + ACP_c --> amp_c + ocACP_c + ppi_c
LPLIPAL2E120,2agpe120_c + h2o_c --> g3pe_c + ddca_c + h_c
FACOAE120,ddcacoa_c + h2o_c --> ddca_c + h_c + coa_c
EAR140x,tmrs2eACP_c + nadh_c + h_c --> nad_c + myrsACP_c
AACPS5,ocdcea_c + ACP_c + atp_c --> amp_c + ppi_c + octeACP_c
AACPS6,atp_c + ACP_c + ocdca_c --> ocdcaACP_c + amp_c + ppi_c
AACPS7,ddca_c + atp_c + ACP_c --> ddcaACP_c + amp_c + ppi_c
AACPS1,ttdca_c + ACP_c + atp_c --> amp_c + myrsACP_c + ppi_c
AACPS2,ttdcea_c + ACP_c + atp_c --> tdeACP_c + amp_c + ppi_c
AACPS3,atp_c + ACP_c + hdca_c --> palmACP_c + amp_c + ppi_c
XMPtex,xmp_e <=> xmp_p
GALCTLO,galctn__L_c + nad_c --> h_c + nadh_c + tagur_c
ACCOAL,ppa_c + atp_c + coa_c --> ppcoa_c + adp_c + pi_c
CITL,cit_c --> oaa_c + ac_c
FORtppi,for_c --> for_p
EX_xtsn_e,xtsn_e --> 
ACCOAC,accoa_c + hco3_c + atp_c --> h_c + malcoa_c + adp_c + pi_c
NMNAT,h_c + nmn_c + atp_c --> nad_c + ppi_c
AKGDH,nad_c + coa_c + akg_c --> nadh_c + co2_c + succoa_c
EX_thm_e,thm_e --> 
MANPGH,h2o_c + man6pglyc_c --> glyc__R_c + man6p_c
MDDEP2pp,murein3px4p_p + h2o_p --> murein4p3p_p
ATPHs,atp_c + h_c + h2o_c --> itp_c + nh4_c
NADH18pp,nadh_c + 4 h_c + 2dmmq8_c --> nad_c + 3 h_p + 2dmmql8_c
EX_tcynt_e,tcynt_e --> 
EX_agm_e,agm_e --> 
EX_trp__L_e,trp__L_e --> 
UDCPDPS,frdp_c + 8 ipdp_c --> 8 ppi_c + udcpdp_c
MMETtex,mmet_e <=> mmet_p
COLIPAKpp,udcpdp_p + colipa_p --> udcpp_p + colipap_p
HSK,atp_c + hom__L_c --> adp_c + h_c + phom_c
EX_co2_e,co2_e --> 
METSOX2abcpp,metsox__R__L_p + h2o_c + atp_c --> h_c + pi_c + metsox__R__L_c + adp_c
EX_ptrc_e,ptrc_e --> 
RMNtpp,h_p + rmn_p --> rmn_c + h_c
G2PP,glyc2p_c + h2o_c --> glyc_c + pi_c
PPGPPDP,ppgpp_c + h2o_c --> gdp_c + ppi_c
ALAt2pp,h_p + ala__L_p --> ala__L_c + h_c
RFAMPtex,rfamp_e <=> rfamp_p
3OAR100,nadph_c + 3odecACP_c + h_c <=> 3hdecACP_c + nadp_c
OCTDPS,5 ipdp_c + frdp_c --> octdp_c + 5 ppi_c
LIPAHT2ex,hdca_e + h_e + colipa_e --> h2o_e + hacolipa_e
EX_glcur_e,glcur_e --> 
MALt2_3pp,mal__L_p + 3 h_p --> mal__L_c + 3 h_c
ALTRH,altrn_c --> 2ddglcn_c + h2o_c
MALTPTtexi,maltpt_e --> maltpt_p
SERTRS2,ser__L_c + trnasecys_c + atp_c --> amp_c + sertrna_sec__c + ppi_c
DHAtpp,dha_p <=> dha_c
GPDDA2pp,g3pe_p + h2o_p --> h_p + etha_p + glyc3p_p
O16GALFT,udpgalfur_c + garagund_c --> gfgaragund_c + udp_c + h_c
CPGNUtpp,h_p + cpgn__un_c --> h_c + cpgn__un_p
TPI,dhap_c <=> g3p_c
PRAIi,pran_c --> 2cpr5p_c
EX_4hoxpacd_e,4hoxpacd_e --> 
EX_3amp_e,3amp_e --> 
EX_glyc__R_e,glyc__R_e --> 
EX_man6p_e,man6p_e --> 
GLYCLTt4pp,glyclt_p + na1_p --> glyclt_c + na1_c
FBA3,s17bp_c <=> e4p_c + dhap_c
MDDCP1pp,h2o_p + murein5px4p_p --> ala__D_p + murein4px4p_p
FACOAL60t2pp,hxa_p + coa_c + atp_c + h_p --> amp_c + hxcoa_c + ppi_c + h_c
ULA4NFT,udpLa4n_c + 10fthf_c --> h_c + thf_c + udpLa4fn_c
UDPKAAT,glu__L_c + udpLa4o_c <=> udpLa4n_c + akg_c
CYNTAH,3 h_c + hco3_c + cynt_c --> nh4_c + 2 co2_c
CYTDH,cytd_c + h2o_c --> csn_c + rib__D_c
EX_mmet_e,mmet_e --> 
TRPtex,trp__L_e <=> trp__L_p
DCYTt2pp,h_p + dcyt_p --> h_c + dcyt_c
EX_3ump_e,3ump_e --> 
AGM4PCPpp,anhgm4p_p + h2o_p --> anhgm3p_p + ala__D_p
EX_pi_e,pi_e <=> 
EX_dopa_e,dopa_e --> 
PAPA140,h2o_c + pa140_c --> pi_c + 12dgr140_c
PAPA141,h2o_c + pa141_c --> 12dgr141_c + pi_c
5DGLCNtex,5dglcn_e <=> 5dglcn_p
ALLTNtex,alltn_e <=> alltn_p
CU2tpp,cu2_p --> cu2_c
G3PCtex,g3pc_e <=> g3pc_p
NI2uabcpp,ni2_p + atp_c + h2o_c --> ni2_c + h_c + pi_c + adp_c
CYStex,cys__L_e <=> cys__L_p
QMO2,q8h2_c + 2 o2_c --> q8_c + 2 h_c + 2 o2s_c
PAPA120pp,h2o_p + pa120_p --> pi_p + 12dgr120_p
MOGDS,moco_c + gtp_c + h_c --> mocogdp_c + ppi_c
SELNPS,h2o_c + atp_c + seln_c --> amp_c + pi_c + selnp_c
ANPRT,anth_c + prpp_c --> ppi_c + pran_c
EX_glyald_e,glyald_e --> 
EX_din_e,din_e --> 
PSD180,h_c + ps180_c --> co2_c + pe180_c
PSD181,ps181_c + h_c --> co2_c + pe181_c
EX_hdcea_e,hdcea_e --> 
3HAD120,3hddecACP_c --> h2o_c + tddec2eACP_c
3HAD121,3hcddec5eACP_c --> h2o_c + t3c5ddeceACP_c
ARGDCpp,arg__L_p + h_p --> co2_p + agm_p
DAGK120,12dgr120_c + atp_c --> pa120_c + adp_c + h_c
PYDXtpp,pydx_p --> pydx_c
CSNt2pp,h_p + csn_p --> csn_c + h_c
SUCCt2_2pp,2 h_p + succ_p --> succ_c + 2 h_c
NTD5pp,dtmp_p + h2o_p --> pi_p + thymd_p
EX_glyc_e,glyc_e --> 
PAPA160pp,h2o_p + pa160_p --> 12dgr160_p + pi_p
EX_ddca_e,ddca_e --> 
THRAi,thr__L_c --> acald_c + gly_c
MOCDS,h_c + ctp_c + moco_c --> ppi_c + mococdp_c
EX_eca4colipa_e,eca4colipa_e --> 
GARFT,10fthf_c + gar_c <=> thf_c + h_c + fgam_c
G3PT,glyc3p_c + h2o_c --> glyc_c + pi_c
EX_pnto__R_e,pnto__R_e --> 
ADOCBIK,adocbi_c + atp_c --> h_c + adp_c + adocbip_c
MALTHXabcpp,malthx_p + h2o_c + atp_c --> h_c + malthx_c + pi_c + adp_c
GGGABADr,h2o_c + nadp_c + ggbutal_c <=> gg4abut_c + 2 h_c + nadph_c
2AGPG161tipp,2agpg161_p --> 2agpg161_c
HXPRT,hxan_c + prpp_c --> ppi_c + imp_c
GDPDPK,atp_c + gdp_c --> h_c + amp_c + ppgpp_c
GLCP,glycogen_c + pi_c --> g1p_c
DDPGALA,2dh3dgal6p_c <=> pyr_c + g3p_c
ARBabcpp,h2o_c + arab__L_p + atp_c --> h_c + pi_c + adp_c + arab__L_c
TRSARr,nadh_c + 2h3oppan_c + h_c <=> nad_c + glyc__R_c
PPM,r1p_c <=> r5p_c
MNtex,mn2_e <=> mn2_p
G3PEtex,g3pe_e <=> g3pe_p
LPLIPAL1A161pp,1hdec9eg3p_p + h2o_p --> h_p + hdcea_p + glyc3p_p
PUNP4,pi_c + dgsn_c <=> 2dr1p_c + gua_c
AACTOOR,h2o_c + aact_c + o2_c --> h2o2_c + nh4_c + mthgxl_c
QMO3,mql8_c + 2 o2_c --> mqn8_c + 2 h_c + 2 o2s_c
FACOAL161t2pp,h_p + coa_c + atp_c + hdcea_p --> amp_c + hdcoa_c + ppi_c + h_c
UACMAMO,h2o_c + uacmam_c + 2 nad_c --> 2 nadh_c + uacmamu_c + 3 h_c
PDX5POi,o2_c + pdx5p_c --> h2o2_c + pydx5p_c
CFAS180E,pe181_c + 2 amet_c --> 2 h_c + 2 ahcys_c + cpe180_c
ARBTNtonex,arbtn__fe3_e + h_p --> arbtn__fe3_p + h_c
ASO3tex,aso3_e <=> aso3_p
L__LACD2,lac__L_c + q8_c --> pyr_c + q8h2_c
L__LACD3,lac__L_c + mqn8_c --> pyr_c + mql8_c
INSH,ins_c + h2o_c --> rib__D_c + hxan_c
PLIPA2A120pp,h2o_p + pa120_p --> ddca_p + 1ddecg3p_p + h_p
INSK,ins_c + atp_c --> adp_c + imp_c + h_c
MALCOAMT,malcoa_c + amet_c --> malcoame_c + ahcys_c
PYRt2rpp,pyr_p + h_p <=> h_c + pyr_c
AMANAPEr,acmanap_c <=> acgam6p_c
GND,6pgc_c + nadp_c --> nadph_c + co2_c + ru5p__D_c
GNK,atp_c + glcn_c --> 6pgc_c + h_c + adp_c
NADH10,mqn8_c + h_c + nadh_c --> mql8_c + nad_c
GLCNt2rpp,h_p + glcn_p <=> h_c + glcn_c
LYSabcpp,h2o_c + atp_c + lys__L_p --> lys__L_c + h_c + adp_c + pi_c
CLPNS180pp,2 pg180_p <=> glyc_p + clpn180_p
PLIPA2A161pp,h2o_p + pa161_p --> 1hdec9eg3p_p + h_p + hdcea_p
QUIN2tex,quin_e <=> quin_p
PLIPA2E140pp,h2o_p + pe140_p --> ttdca_p + 1agpe140_p + h_p
PACCOAL,pac_c + atp_c + coa_c --> phaccoa_c + amp_c + ppi_c
ACOAD7f,pmtcoa_c + fad_c <=> hdd2coa_c + fadh2_c
3OAS80,malACP_c + hexACP_c + h_c --> co2_c + ACP_c + 3ooctACP_c
GLYtex,gly_e <=> gly_p
SELtpp,2 h_p + sel_p --> 2 h_c + sel_c
ALAALAD,alaala_c + h2o_c --> 2 ala__D_c
EX_pydxn_e,pydxn_e --> 
DADK,damp_c + atp_c <=> dadp_c + adp_c
2AGPE140tipp,2agpe140_p --> 2agpe140_c
LPLIPAL2ATG141,2agpg141_c + pg141_c --> g3pg_c + apg141_c
LPLIPAL2ATG140,pg140_c + 2agpg140_c --> apg140_c + g3pg_c
DADA,h_c + h2o_c + dad__2_c --> din_c + nh4_c
ALAALAr,2 ala__D_c + atp_c <=> h_c + alaala_c + pi_c + adp_c
TMAOR2,h_c + 2dmmql8_c + tmao_c --> h2o_c + 2dmmq8_c + tma_c
PSSA141,cdpdtdec7eg_c + ser__L_c --> ps141_c + h_c + cmp_c
PSSA140,ser__L_c + cdpdtdecg_c --> h_c + ps140_c + cmp_c
2AGPEAT120,ddca_c + atp_c + 2agpe120_c --> amp_c + ppi_c + pe120_c
PA180abcpp,h2o_c + pa180_c + atp_c --> h_c + pi_c + pa180_p + adp_c
2AGPA140tipp,2tdecg3p_p --> 2tdecg3p_c
MALt2_2pp,mal__L_p + 2 h_p --> mal__L_c + 2 h_c
NTPP10,ditp_c + h2o_c --> h_c + dimp_c + ppi_c
PTRCtex,ptrc_e <=> ptrc_p
FORtex,for_e <=> for_p
NOVBCNtex,novbcn_e <=> novbcn_p
GLYBabcpp,h2o_c + glyb_p + atp_c --> glyb_c + h_c + pi_c + adp_c
LPLIPAL2A140,h2o_c + 2tdecg3p_c --> ttdca_c + glyc3p_c + 2 h_c
LPLIPAL2A141,2tdec7eg3p_c + h2o_c --> ttdcea_c + glyc3p_c + 2 h_c
DM_AACALD,aacald_c --> 
GLCRD,glcr_c --> 5dh4dglc_c + h2o_c
SUCCt3pp,h_p + succ_c --> succ_p + h_c
EX_val__L_e,val__L_e --> 
UGLCURPpp,udpglcur_p + h2o_p --> glcur1p_p + 2 h_p + ump_p
EAR161y,h_c + t3c9palmeACP_c + nadph_c --> hdeACP_c + nadp_c
EAR161x,h_c + t3c9palmeACP_c + nadh_c --> nad_c + hdeACP_c
ALLTN,h2o_c + alltn_c --> alltt_c + h_c
DASYN180,pa180_c + ctp_c + h_c --> ppi_c + cdpdodecg_c
DASYN181,pa181_c + h_c + ctp_c --> ppi_c + cdpdodec11eg_c
PG141abcpp,pg141_c + atp_c + h2o_c --> h_c + pi_c + pg141_p + adp_c
SERt4pp,ser__L_p + na1_p --> na1_c + ser__L_c
NTD4pp,cmp_p + h2o_p --> cytd_p + pi_p
HKNDDH,hkndd_c + h2o_c --> succ_c + h_c + op4en_c
TRPt2rpp,h_p + trp__L_p <=> trp__L_c + h_c
EX_3hpp_e,3hpp_e --> 
PNTOtex,pnto__R_e <=> pnto__R_p
ASCBPL,h2o_c + ascb6p_c --> h_c + 3dhgulnp_c
PSP_Lpp,h2o_p + pser__L_p --> ser__L_p + pi_p
ASCBptspp,pep_c + ascb__L_p --> ascb6p_c + pyr_c
PGPP161,h2o_c + pgp161_c --> pi_c + pg161_c
PGPP160,h2o_c + pgp160_c --> pg160_c + pi_c
PRFGS,gln__L_c + fgam_c + atp_c + h2o_c --> fpram_c + h_c + glu__L_c + pi_c + adp_c
PG120abcpp,h2o_c + pg120_c + atp_c --> h_c + pg120_p + pi_c + adp_c
ETOHtex,etoh_e <=> etoh_p
CDAPPA120,cdpdddecg_c + h2o_c --> 2 h_c + pa120_c + cmp_c
DASYN160,pa160_c + ctp_c + h_c --> cdpdhdecg_c + ppi_c
DASYN161,pa161_c + ctp_c + h_c --> cdpdhdec9eg_c + ppi_c
EX_gthrd_e,gthrd_e --> 
AGM3PApp,anhgm3p_p + h2o_p --> anhgm_p + LalaDgluMdap_p
XTSNt2rpp,h_p + xtsn_p <=> xtsn_c + h_c
PLIPA2G140pp,pg140_p + h2o_p --> ttdca_p + h_p + 1agpg140_p
VPAMTr,ala__L_c + 3mob_c <=> val__L_c + pyr_c
MALTTRtexi,malttr_e --> malttr_p
RNDR4,udp_c + trdrd_c --> trdox_c + dudp_c + h2o_c
RNDR3,trdrd_c + cdp_c --> trdox_c + h2o_c + dcdp_c
RNDR2,gdp_c + trdrd_c --> trdox_c + h2o_c + dgdp_c
RNDR1,trdrd_c + adp_c --> trdox_c + dadp_c + h2o_c
PSCVT,skm5p_c + pep_c <=> 3psme_c + pi_c
EX_15dap_e,15dap_e --> 
MTHTHFSs,h2o_c + mdhdhf_c --> mththf_c
RNDR1b,adp_c + grxrd_c --> h2o_c + grxox_c + dadp_c
GMAND,gdpmann_c --> gdpddman_c + h2o_c
PDXPP,pdx5p_c + h2o_c --> pi_c + pydxn_c
GALCTNLt2pp,h_p + galctn__L_p --> galctn__L_c + h_c
2AGPA160tipp,2hdecg3p_p --> 2hdecg3p_c
K2L4Aabcpp,h2o_c + atp_c + kdo2lipid4_c --> kdo2lipid4_p + adp_c + h_c + pi_c
DC6PH,chtbs6p_c + h2o_c --> acgam_c + acgam6p_c
CHLabcpp,h2o_c + chol_p + atp_c --> h_c + chol_c + pi_c + adp_c
GLYC3Pt6pp,pi_c + glyc3p_p --> glyc3p_c + pi_p
SPMDtex,spmd_e <=> spmd_p
RNTR2c2,2 h_c + gtp_c + 2 flxr_c --> h2o_c + dgtp_c + 2 flxso_c
PSSA161,ser__L_c + cdpdhdec9eg_c --> ps161_c + cmp_c + h_c
CYSDabcpp,h2o_c + atp_c + cys__D_p --> h_c + cys__D_c + pi_c + adp_c
HPPPNtex,3hpppn_e <=> 3hpppn_p
GDPtex,gdp_e <=> gdp_p
EX_adocbl_e,adocbl_e --> 
FACOAL180t2pp,ocdca_p + h_p + coa_c + atp_c --> stcoa_c + amp_c + ppi_c + h_c
LPLIPAL2ATE140,pg140_c + 2agpe140_c --> apg140_c + g3pe_c
RFAMPtpp,rfamp_p + h_p --> rfamp_e + h_c
PYK,pep_c + adp_c + h_c --> atp_c + pyr_c
CLPNS181pp,2 pg181_p <=> glyc_p + clpn181_p
LA4NTpp,colipa_p + uLa4n_p --> acolipa_p + udcpp_p
CHOLD,chol_c + nad_c --> betald_c + h_c + nadh_c
PLIPA2A160pp,pa160_p + h2o_p --> hdca_p + h_p + 1hdecg3p_p
AM4PCP,anhm4p_c + h2o_c --> anhm3p_c + ala__D_c
FRUpts2pp,pep_c + fru_p --> f6p_c + pyr_c
BUTSO3abcpp,butso3_p + h2o_c + atp_c --> h_c + butso3_c + pi_c + adp_c
NTD9pp,gmp_p + h2o_p --> pi_p + gsn_p
FA100ACPHi,h2o_c + dcaACP_c --> h_c + ACP_c + dca_c
FESD2s,2 no_c + 2 4fe4s_c + 2 h_c --> 2 3fe4s_c + n2o_c + 2 fe3_c + h2o_c
PDX5PO2,pdx5p_c + nad_c --> h_c + nadh_c + pydx5p_c
TDSR1,dsbcox_p + dsbdrd_c --> dsbcrd_p + dsbdox_c
TDSR2,dsbdrd_c + dsbgox_p --> dsbdox_c + dsbgrd_p
CYANSTpp,cyan_p + tsul_p --> so3_p + tcynt_p + h_p
APG3PAT141,glyc3p_c + ttdceap_c --> 1tdec7eg3p_c + h_c + pi_c
APG3PAT140,ttdcap_c + glyc3p_c --> pi_c + h_c + 1tdecg3p_c
NADH5,q8_c + h_c + nadh_c --> q8h2_c + nad_c
NADH9,nadh_c + h_c + 2dmmq8_c --> 2dmmql8_c + nad_c
CHORM,chor_c --> pphn_c
BALAtex,ala__B_e <=> ala__B_p
L__LACtex,lac__L_e <=> lac__L_p
PLIPA1E120pp,pe120_p + h2o_p --> ddca_p + h_p + 2agpe120_p
NAtex,na1_e <=> na1_p
CHORS,3psme_c --> pi_c + chor_c
FRULYStex,frulys_e <=> frulys_p
MCTP1Bpp,murein5p5p_p --> murein5px3p_p + alaala_p
FE3DHBZSabcpp,h2o_c + atp_c + fe3dhbzs_p --> fe3dhbzs_c + h_c + pi_c + adp_c
HCO3E,co2_c + h2o_c <=> h_c + hco3_c
XYLK2,xylu__L_c + atp_c --> h_c + adp_c + xu5p__L_c
AGPAT180,1odecg3p_c + ocdcaACP_c --> pa180_c + ACP_c
AGPAT181,1odec11eg3p_c + octeACP_c --> ACP_c + pa181_c
CHTBSptspp,pep_c + chtbs_p --> chtbs6p_c + pyr_c
2AGPE180tipp,2agpe180_p --> 2agpe180_c
AM4PA,h2o_c + anhm4p_c --> LalaDgluMdapDala_c + anhm_c
AMANK,atp_c + acmana_c --> h_c + adp_c + acmanap_c
3NTD7pp,3amp_p + h2o_p --> pi_p + adn_p
TARTRtex,tartr__L_e <=> tartr__L_p
DMATT,dmpp_c + ipdp_c --> ppi_c + grdp_c
EX_all__D_e,all__D_e --> 
LPLIPAL1G140pp,1agpg140_p + h2o_p --> ttdca_p + h_p + g3pg_p
THRt2pp,thr__L_c + h_p --> thr__L_p + h_c
3GMPtex,3gmp_e <=> 3gmp_p
PHETRS,trnaphe_c + atp_c + phe__L_c --> amp_c + phetrna_c + ppi_c
ACACT8r,coa_c + 3oodcoa_c <=> accoa_c + pmtcoa_c
MNLtex,mnl_e <=> mnl_p
ICDHyr,icit_c + nadp_c <=> nadph_c + co2_c + akg_c
GMHEPPA,h2o_c + gmhep17bp_c --> pi_c + gmhep1p_c
EX_pydx_e,pydx_e --> 
LIPACabcpp,h2o_c + lipa_cold_c + atp_c --> h_c + lipa_cold_p + pi_c + adp_c
THRabcpp,h2o_c + atp_c + thr__L_p --> h_c + pi_c + thr__L_c + adp_c
PHEMEtiex,pheme_p --> pheme_e
MCPST,cyan_c + mercppyr_c --> pyr_c + tcynt_c + h_c
D__LACt2pp,lac__D_p + h_p <=> lac__D_c + h_c
FBP,fdp_c + h2o_c --> f6p_c + pi_c
HISabcpp,h2o_c + his__L_p + atp_c --> h_c + his__L_c + pi_c + adp_c
LPLIPAL1E180pp,1agpe180_p + h2o_p --> g3pe_p + ocdca_p + h_p
EX_acser_e,acser_e --> 
FEENTERtpp,enter_c + h_p --> h_c + enter_p
COBALT2tpp,cobalt2_p --> cobalt2_c
GLYCAtex,glyc__R_e <=> glyc__R_p
FBA,fdp_c <=> dhap_c + g3p_c
2AGPE141tipp,2agpe141_p --> 2agpe141_c
CBIAT,h_c + cbi_c + atp_c <=> adocbi_c + pppi_c
CMtpp,h_p + cm_p --> cm_e + h_c
AMPtex,amp_e <=> amp_p
EX_asp__L_e,asp__L_e --> 
PPCDC,4ppcys_c + h_c --> co2_c + pan4p_c
ACGAtex,acgam_e <=> acgam_p
ACOAD8f,fad_c + stcoa_c <=> od2coa_c + fadh2_c
ARGTRS,arg__L_c + atp_c + trnaarg_c --> amp_c + ppi_c + argtrna_c
MDDEP4pp,murein4px4px4p_p + h2o_p --> murein4px4p4p_p
EX_ala__L_e,ala__L_e --> 
ACACtex,acac_e <=> acac_p
LPLIPAL1G181pp,h2o_p + 1agpg181_p --> h_p + g3pg_p + ocdcea_p
TARTRDtex,tartr__D_e <=> tartr__D_p
EX_lac__L_e,lac__L_e --> 
GUAt2pp,gua_p + h_p --> gua_c + h_c
PRMICI,prfp_c <=> prlp_c
TUNGSabcpp,tungs_p + atp_c + h2o_c --> tungs_c + h_c + pi_c + adp_c
PPND,nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
PLIPA2G181pp,h2o_p + pg181_p --> h_p + ocdcea_p + 1agpg181_p
ABUTD,nad_c + h2o_c + 4abutn_c --> nadh_c + 2 h_c + 4abut_c
ICL,icit_c --> glx_c + succ_c
DGK1,atp_c + dgmp_c <=> adp_c + dgdp_c
ALAabcpp,h2o_c + ala__L_p + atp_c --> h_c + ala__L_c + adp_c + pi_c
UREAtpp,urea_p <=> urea_c
EX_octa_e,octa_e --> 
