reaction,value
34dhpactex,34dhpac_e <=> 34dhpac_p
EAR121y,t3c5ddeceACP_c + h_c + nadph_c --> cddec5eACP_c + nadp_c
EAR121x,h_c + nadh_c + t3c5ddeceACP_c --> cddec5eACP_c + nad_c
ALATRS,trnaala_c + ala__L_c + atp_c --> alatrna_c + amp_c + ppi_c
CTBTt2rpp,h_p + ctbt_p <=> h_c + ctbt_c
EX_cpgn__un_e,cpgn__un_e --> 
EX_h2_e,h2_e --> 
UDPACGALtex,udpacgal_e <=> udpacgal_p
INDOLEtex,indole_e <=> indole_p
23DAPPAt2pp,h_p + 23dappa_p --> 23dappa_c + h_c
LEUTAi,glu__L_c + 4mop_c --> leu__L_c + akg_c
EX_tyrp_e,tyrp_e --> 
EX_metsox__S__L_e,metsox__S__L_e --> 
3AMPtex,3amp_e <=> 3amp_p
EX_gthox_e,gthox_e --> 
EX_kdo2lipid4_e,kdo2lipid4_e --> 
FCLT,ppp9_c + fe2_c --> pheme_c + 2 h_c
IPPMIb,2ippm_c + h2o_c <=> 3c3hmp_c
FCLK,fcl__L_c + atp_c --> fc1p_c + h_c + adp_c
MALDDH,nad_c + mal__D_c --> nadh_c + co2_c + pyr_c
PLIPA1A181pp,h2o_p + pa181_p --> 2odec11eg3p_p + ocdcea_p
2AGPG120tipp,2agpg120_p --> 2agpg120_c
KG6PDC,h_c + 3dhgulnp_c --> co2_c + xu5p__L_c
CYNTt2pp,h_p + cynt_p --> cynt_c + h_c
LPLIPAL1A141pp,1tdec7eg3p_p + h2o_p --> h_p + ttdcea_p + glyc3p_p
FACOAL160t2pp,coa_c + h_p + hdca_p + atp_c --> amp_c + pmtcoa_c + h_c + ppi_c
MOHMT,mlthf_c + h2o_c + 3mob_c --> thf_c + 2dhp_c
DHDPS,aspsa_c + pyr_c --> 2 h2o_c + h_c + 23dhdp_c
ACtex,ac_e <=> ac_p
3PEPTabcpp,h2o_c + atp_c + LalaDgluMdap_p --> LalaDgluMdap_c + h_c + pi_c + adp_c
ALATA_D2,ala__D_c + pydx5p_c --> pyam5p_c + pyr_c
CFAS180G,pg181_c + 2 amet_c --> 2 h_c + 2 ahcys_c + cpg180_c
EDA,2ddg6p_c --> pyr_c + g3p_c
EDD,6pgc_c --> h2o_c + 2ddg6p_c
GTHOr,nadph_c + h_c + gthox_c <=> 2 gthrd_c + nadp_c
FRUK,atp_c + f1p_c --> adp_c + h_c + fdp_c
GALBDtex,gal__bD_e <=> gal__bD_p
GLCtexi,glc__D_e --> glc__D_p
GTHRDHpp,gthrd_p + h2o_p --> cgly_p + glu__L_p
PRPPS,atp_c + r5p_c <=> h_c + prpp_c + amp_c
23PDE9pp,h2o_p + 23cgmp_p --> 3gmp_p + h_p
MALTTTRabcpp,atp_c + maltttr_p + h2o_c --> maltttr_c + pi_c + adp_c + h_c
DPR,h_c + 2dhp_c + nadph_c --> pant__R_c + nadp_c
12PPDRtpp,12ppd__R_p <=> 12ppd__R_c
EX_tre_e,tre_e --> 
EX_23camp_e,23camp_e --> 
FTHFD,10fthf_c + h2o_c --> thf_c + for_c + h_c
EX_spmd_e,spmd_e --> 
AGPAT120,ddcaACP_c + 1ddecg3p_c --> ACP_c + pa120_c
ALLTNt2rpp,alltn_p + h_p <=> alltn_c + h_c
XTSNtex,xtsn_e <=> xtsn_p
VALabcpp,val__L_p + atp_c + h2o_c --> val__L_c + h_c + pi_c + adp_c
THMtex,thm_e <=> thm_p
GLUPRT,gln__L_c + h2o_c + prpp_c --> pram_c + glu__L_c + ppi_c
KAS14,malACP_c + acACP_c + h_c --> co2_c + ACP_c + actACP_c
EX_thym_e,thym_e --> 
SUCRtex,sucr_e <=> sucr_p
TRPTRS,atp_c + trp__L_c + trnatrp_c --> amp_c + trptrna_c + ppi_c
LEUtex,leu__L_e <=> leu__L_p
DHNPA2r,dhnpt_c <=> gcald_c + 6hmhpt_c
KDOPP,kdo8p_c + h2o_c --> kdo_c + pi_c
2AGPG181tipp,2agpg181_p --> 2agpg181_c
OCBT,cbp_c + orn_c <=> h_c + citr__L_c + pi_c
DHORD2,q8_c + dhor__S_c --> orot_c + q8h2_c
DHORD5,mqn8_c + dhor__S_c --> mql8_c + orot_c
CPGNexs,fe3_e + cpgn__un_e --> cpgn_e
S4FE4ST,4 h_c + sufbcd__4fe4s_c --> sufbcd_c + 4fe4s_c
AGM4PH,anhgm4p_c + h2o_c --> anhm4p_c + acgam_c
EX_etha_e,etha_e --> 
S4FE4SR,sufbcd__2fe2s2_c + fadh2_c + 2 h_c --> fad_c + sufbcd__4fe4s_c
ARBTNexs,fe3_e + arbtn_e --> arbtn__fe3_e
AGM4PA,anhgm4p_c + h2o_c --> anhgm_c + LalaDgluMdapDala_c
GMPS2,gln__L_c + h2o_c + atp_c + xmp_c --> gmp_c + glu__L_c + amp_c + ppi_c + 2 h_c
MELIBt3ipp,h_p + melib_c --> h_c + melib_p
HPYRI,hpyr_c <=> 2h3oppan_c
ADEt2rpp,h_p + ade_p <=> h_c + ade_c
4PEPTabcpp,h2o_c + atp_c + LalaDgluMdapDala_p --> h_c + pi_c + LalaDgluMdapDala_c + adp_c
EX_btn_e,btn_e --> 
GALt2pp,gal_p + h_p --> gal_c + h_c
LPLIPAL1E161pp,1agpe161_p + h2o_p --> g3pe_p + h_p + hdcea_p
AGMH,anhgm_c + h2o_c --> anhm_c + acgam_c
AGMT,agm_c + h2o_c --> ptrc_c + urea_c
GALabcpp,h2o_c + atp_c + gal_p --> h_c + adp_c + pi_c + gal_c
EX_colipa_e,colipa_e --> 
THMDt2pp,h_p + thymd_p --> thymd_c + h_c
SERtex,ser__L_e <=> ser__L_p
CRNtex,crn_e <=> crn_p
HMPK1,4ahmmp_c + atp_c --> adp_c + h_c + 4ampm_c
LPLIPAL1E140pp,h2o_p + 1agpe140_p --> ttdca_p + h_p + g3pe_p
GLCURt2rpp,h_p + glcur_p <=> glcur_c + h_c
SO4tex,so4_e <=> so4_p
TAUDO,taur_c + akg_c + o2_c --> aacald_c + co2_c + so3_c + h_c + succ_c
IDOND2,nadph_c + h_c + 5dglcn_c --> nadp_c + idon__L_c
S2FE2SS2,sufbcd__2fe2s_c + h2o_c + atp_c + 2 sufsesh_c + fadh2_c + 2 fe2_c --> fad_c + 2 sufse_c + 7 h_c + sufbcd__2fe2s2_c + adp_c + pi_c
ACOAD2f,fad_c + hxcoa_c <=> hx2coa_c + fadh2_c
LYSTRS,lys__L_c + trnalys_c + atp_c --> amp_c + lystrna_c + ppi_c
FE3Ri,2 fe3_c + fadh2_c --> fad_c + 2 fe2_c + 2 h_c
DDGLK,atp_c + 2ddglcn_c --> 2ddg6p_c + h_c + adp_c
3AMACHYD,3amac_c + h_c + h2o_c --> msa_c + nh4_c
ACONTa,cit_c <=> acon__C_c + h2o_c
ACONTb,acon__C_c + h2o_c <=> icit_c
PGLYCP,h2o_c + 2pglyc_c --> glyclt_c + pi_c
BUTCT,but_c + accoa_c --> btcoa_c + ac_c
ASNabcpp,asn__L_p + atp_c + h2o_c --> h_c + asn__L_c + pi_c + adp_c
PLIPA1G160pp,h2o_p + pg160_p --> hdca_p + h_p + 2agpg160_p
DADNt2pp,h_p + dad__2_p --> dad__2_c + h_c
ARGtex,arg__L_e <=> arg__L_p
EX_sulfac_e,sulfac_e --> 
EX_5dglcn_e,5dglcn_e --> 
EX_gbbtn_e,gbbtn_e --> 
ETHAtex,etha_e <=> etha_p
ASPt2pp,h_p + asp__L_p --> asp__L_c + h_c
ADNK1,atp_c + adn_c --> adp_c + h_c + amp_c
23CGMPtex,23cgmp_e <=> 23cgmp_p
EX_psclys_e,psclys_e --> 
CLtex,cl_e <=> cl_p
3OAR60,nadph_c + h_c + 3ohexACP_c <=> nadp_c + 3hhexACP_c
CRNCAR,crncoa_c <=> crnDcoa_c
EX_arbtn_e,arbtn_e --> 
DXPS,pyr_c + h_c + g3p_c --> dxyl5p_c + co2_c
ACSERtex,acser_e <=> acser_p
FORt2pp,for_p + h_p --> for_c + h_c
PLIPA2E120pp,pe120_p + h2o_p --> ddca_p + h_p + 1agpe120_p
CTBTCAL2,coa_c + atp_c + ctbt_c --> adp_c + ctbtcoa_c + pi_c
EX_udpgal_e,udpgal_e --> 
DBTS,dann_c + co2_c + atp_c --> dtbt_c + pi_c + adp_c + 3 h_c
EAR120x,tddec2eACP_c + nadh_c + h_c --> ddcaACP_c + nad_c
EAR120y,tddec2eACP_c + nadph_c + h_c --> ddcaACP_c + nadp_c
UPP3MT,uppg3_c + 2 amet_c --> h_c + 2 ahcys_c + dscl_c
METSOX2tex,metsox__R__L_e <=> metsox__R__L_p
MLTP1,pi_c + maltpt_c <=> maltttr_c + g1p_c
MLTP2,pi_c + malthx_c <=> maltpt_c + g1p_c
MLTP3,malthp_c + pi_c <=> malthx_c + g1p_c
UDPG4E,udpg_c <=> udpgal_c
ISETACabcpp,h2o_c + isetac_p + atp_c --> h_c + isetac_c + adp_c + pi_c
TTRCYCtex,ttrcyc_e <=> ttrcyc_p
AM3PA,h2o_c + anhm3p_c --> anhm_c + LalaDgluMdap_c
GLYCTO4,glyclt_c + 2dmmq8_c --> 2dmmql8_c + glx_c
ACMANAtex,acmana_e <=> acmana_p
NOtex,no_e <=> no_p
LPLIPAL2E160,h2o_c + 2agpe160_c --> hdca_c + h_c + g3pe_c
LPLIPAL2E161,2agpe161_c + h2o_c --> g3pe_c + h_c + hdcea_c
CITt3pp,cit_c + h_p --> h_c + cit_p
SHCHF,fe2_c + scl_c --> sheme_c + 3 h_c
THRt2rpp,h_p + thr__L_p <=> thr__L_c + h_c
UM4PCP,um4p_c + h2o_c --> ala__D_c + ugmd_c
GTHS,gly_c + glucys_c + atp_c --> h_c + gthrd_c + adp_c + pi_c
PLIPA2A141pp,pa141_p + h2o_p --> 1tdec7eg3p_p + h_p + ttdcea_p
ECAP3pp,unagamuf_p + eca3und_p --> udcpdp_p + eca4und_p + h_p
UPP3S,hmbil_c --> uppg3_c + h2o_c
NTP11,ditp_c + h2o_c --> pi_c + h_c + didp_c
PUNP5,ins_c + pi_c <=> r1p_c + hxan_c
EX_for_e,for_e --> 
ETHSO3abcpp,h2o_c + ethso3_p + atp_c --> ethso3_c + h_c + pi_c + adp_c
DGSNtex,dgsn_e <=> dgsn_p
EX_dha_e,dha_e --> 
12DGR160tipp,12dgr160_p --> 12dgr160_c
O2Stex,o2s_e <=> o2s_p
PPA2,pppi_c + h2o_c --> ppi_c + pi_c + h_c
CRNBTCT,bbtcoa_c + crn_c <=> crncoa_c + gbbtn_c
VALTRS,val__L_c + trnaval_c + atp_c --> valtrna_c + amp_c + ppi_c
PYDXK,pydx_c + atp_c --> adp_c + h_c + pydx5p_c
PGPP161pp,pgp161_p + h2o_p --> pg161_p + pi_p
LDH_D2,lac__D_c + q8_c --> pyr_c + q8h2_c
12DGR161tipp,12dgr161_p --> 12dgr161_c
3HPPtpp,h_c + 3hpp_c --> 3hpp_p + h_p
OXCDC,h_c + oxalcoa_c --> forcoa_c + co2_c
UDPGtex,udpg_e <=> udpg_p
RMK,rml_c + atp_c --> adp_c + rml1p_c + h_c
RMI,rmn_c <=> rml_c
