,aerobic,anaerobic
b0143,531.9193333333333,524.7890000000001
b0144,54.323766666666664,27.273633333333333
b0145,1040.5223333333333,839.4533333333333
b0146,136.46166666666667,95.91406666666667
b0147,46.84403333333333,70.64613333333334
b0148,43.317499999999995,55.051199999999994
b0149,95.69533333333334,112.89833333333333
b0150,167.61433333333335,27.883333333333336
b0151,37.0146,11.512030000000001
b0152,37.03466666666667,15.863133333333332
b0153,9.755629999999998,11.790013333333334
b0154,338.43066666666664,236.94733333333338
b0155,49.78803333333334,113.05130000000001
b0156,472.80633333333327,384.378
b0157,36.88183333333333,36.20383333333333
b0158,46.6524,39.42786666666667
b0159,414.21599999999995,431.5506666666667
b0160,84.6648,53.03066666666667
b0161,262.6956666666667,175.0906666666667
b0162,9.757116666666667,7.567983333333333
b0163,482.05766666666665,436.7436666666667
b0164,20.487966666666665,16.120033333333332
b0166,1390.21,1415.4766666666667
b0167,92.65443333333333,81.88176666666668
b0168,661.9879999999999,475.58933333333334
b0169,7162.02,4754.376666666667
b0170,3052.44,1635.5933333333332
b0171,644.8113333333334,378.417
b0172,1775.55,1079.8766666666666
b0173,62.47346666666667,91.26469999999999
b0174,421.738,419.16333333333336
b0175,272.60433333333333,275.61133333333333
b0176,370.3153333333334,356.86366666666663
b0177,855.486,733.9106666666667
b0178,2067.2166666666667,1998.4800000000002
b0179,1239.21,1370.7533333333333
b0180,1030.2863333333335,884.945
b0181,788.5493333333334,806.3669999999998
b0182,299.4963333333333,245.00199999999995
b0183,112.96019999999999,129.437
b0184,135.46833333333333,123.94333333333333
b0185,664.7956666666668,556.943
b0186,74.01530000000001,51.91866666666667
b0187,101.6417,95.75013333333334
b0188,48.684733333333334,59.4855
b0189,369.1326666666667,308.969
b0190,92.00123333333333,131.89843333333334
b0191,78.70666666666666,92.99653333333333
b0192,105.5628,113.80963333333334
b0193,9.452893333333334,19.2152
b0194,753.7913333333332,632.7606666666667
b0195,111.65926666666667,140.905
b0196,304.83866666666665,574.4956666666667
b0197,2703.89,3132.81
b0198,433.51933333333335,928.1213333333334
b0199,498.209,1148.8633333333332
b0200,165.463,235.76699999999997
b0207,57.61603333333333,22.6356
b0208,44.47873333333333,49.34466666666666
b0209,247.76633333333334,449.1803333333333
b0210,52.82996666666667,111.73406666666666
b0211,742.5026666666666,342.1426666666666
b0212,165.109,127.38080000000001
b0213,63.922333333333334,48.241366666666664
b0214,103.141,97.15350000000001
b0215,219.65066666666667,207.92066666666668
b0217,7.644543333333334,7.593183333333333
b0218,3.7167600000000003,0.21861933333333336
b0219,66.37286666666667,70.41993333333333
b0220,403.76133333333337,262.05766666666665
b0221,38.057966666666665,9.775620000000002
b0222,473.472,422.7369999999999
b0223,171.0653333333333,226.14633333333336
b0224,474.50666666666666,552.1016666666666
b0225,202.0566666666667,88.11326666666668
b0226,330.78333333333336,243.93033333333332
b0227,7.408856666666666,11.797716666666666
b0228,39.525,45.634366666666665
b0229,3.2576033333333334,3.9632
b0230,5.2969800000000005,9.178843333333333
b0231,31.985866666666666,36.310233333333336
b0232,74.29876666666667,57.616666666666674
b0233,36.39626666666667,46.2798
b0234,18.768966666666667,28.91536666666667
b0235,3.8464333333333336,4.296433333333334
b0236,2.8707166666666666,0.5312233333333333
b0237,611.9063333333334,593.5993333333334
b0238,443.94266666666664,498.0553333333334
b0239,103.60566666666666,154.15433333333334
b0240,811.1776666666666,208.94833333333335
b0241,5.129886666666667,2.8384300000000002
b0242,341.7616666666667,546.4746666666666
b0243,321.6983333333333,414.87833333333333
b0245,2.7445066666666666,0.46852999999999995
b0246,0.0,0.0
b0247,2.8159199999999998,0.0
b0248,0.159659,0.0
b0249,0.49920000000000003,0.0
b0250,119.23433333333334,119.56933333333332
b0251,15.141499999999999,10.6728
b0252,1.9362699999999997,0.9202933333333333
b0253,19.440933333333334,22.129056666666667
b0254,9.241526666666667,14.102620000000002
b0256,0.001863991666666667,15.793620717766666
b0258,31.680733333333336,42.940866666666665
b0259,149.999,178.22666666666666
b0260,45.19723333333334,89.1377
b0261,50.79006666666667,118.80753333333332
b0262,5.266976666666667,5.9423699999999995
b0263,2.5972633333333333,10.876683333333332
b0264,7.19875,20.6433
b0265,36.11926666666667,112.84793333333334
b0266,98.75729999999999,81.44063333333334
b0267,0.59136,1.6957366666666667
b0268,3.4349833333333333,1.4509166666666669
b0269,3.1081533333333335,9.905716666666665
b0270,4.897156666666667,5.344276666666667
b0271,8.333666666666668,7.01332
b0272,131.158,113.873
b0273,604.0066666666665,205.54
b0274,8.083350000000001,18.1673
b0275,37.74963333333333,112.69826666666665
b0276,21.2144,21.959766666666667
b0277,30.460399999999996,41.46553333333333
b0278,9.1329,4.05967
b0279,3.62536,3.13763
b0280,292.7953333333333,287.3196666666667
b0281,108.348,78.5279
b0283,11.094746666666666,16.95908
b0284,11.358133333333333,11.010393333333333
b0285,6.985183333333334,7.290783333333333
b0286,12.269566666666668,8.865733333333333
b0287,926.1043333333333,3962.8866666666668
b0288,20.4272,34.558033333333334
b0289,22.126333333333335,23.69343333333333
b0290,10.591636666666668,11.270209999999999
b0291,4.595283333333334,4.31291
b0292,5.41604,9.969506666666666
b0293,36.99146666666667,29.22746666666667
b0294,4.345346666666667,4.4743699999999995
b0295,16.71398,50.73063333333334
b0296,145.69836666666666,8.679123333333333
b0297,0.06911266666666667,0.06599200000000001
b0298,27.126746666666666,47.77923333333334
b0299,13.165046666666667,20.995033333333335
b0300,26.721466666666668,17.315946666666665
b0301,5.270040000000001,4.615559999999999
b0303,10.191743333333333,1.3716766666666667
b0304,30.43183333333333,14.485633333333332
b0305,8.23063,16.291066666666666
b0306,6.72416,7.92283
b0307,19.594866666666665,21.054199999999998
b0308,11.849246666666666,10.13063
b0310,4.372933333333333,0.273175
b0311,40.7291,5.51586
b0312,76.72793333333334,11.317426666666668
b0313,79.71403333333335,5.30366
b0314,46.25566666666666,7.96876
b0315,52.11606666666666,27.8368
b0316,23.036766666666665,20.643833333333333
b0317,2.7082466666666662,1.364584
b0318,16.5299,42.26363333333333
b0319,3.709006666666667,6.718216666666666
b0320,3.3895033333333338,2.0715
b0321,2.4011033333333334,2.5653633333333334
b0323,1.8746433333333332,4.309003333333333
b0324,39.51336666666666,50.35166666666667
b0325,297.916,95.83780000000002
b0326,2.525066666666667,3.1153066666666667
b0327,11.6625,28.01957333333333
b0328,4.895653333333333,15.130683333333335
b0329,1642.6766666666665,295.25533333333334
b0330,10.827876666666668,1.0218733333333334
b0331,0.595582,0.45034
b0333,1.5222466666666667,1.2719696666666669
b0334,0.6668523333333333,0.5050966666666666
b0335,1.9057433333333336,3.4304166666666664
b0336,699.0300000000001,187.13666666666666
b0337,1047.5400000000002,286.5556666666667
b0338,22.819033333333334,17.03217666666667
b0339,3.1367233333333338,2.7891933333333334
b0340,16.0228,17.605433333333334
b0341,3.516173333333333,8.863563333333333
b0342,9.27694,3.7248933333333336
b0343,3.6628166666666666,2.1221533333333333
b0344,2.904386666666667,3.724126666666667
b0345,58.722,73.5025
b0346,56.28783333333334,4.671546666666667
b0347,2.4040866666666667,1.0526426666666666
b0348,2.3236336666666664,1.0873196666666667
b0349,4.383256666666667,2.9483166666666665
b0350,5.302163333333333,1.3883533333333336
b0351,5.516226666666667,2.12899
b0352,4.600606666666667,2.39834
b0353,4.41828,7.941749999999999
b0354,80.73916666666666,74.60199999999999
b0355,36.6441,17.001023333333332
b0356,113.35233333333333,66.67563333333332
b0357,105.7953,68.2916
b0358,14.58057,15.610633333333334
b0360,76.48986666666666,100.1762
b0361,28.9349,53.119033333333334
b0363,4.108796666666667,9.238663333333333
b0364,2.2745153333333334,0.11492833333333334
b0365,5.810293333333334,6.037776666666666
b0366,7.02476,14.674123333333332
b0367,3.4814966666666667,8.848963333333334
b0368,9.52098,16.051166666666667
b0369,245.76566666666668,251.91133333333335
b0372,13.172400000000001,21.256800000000002
b0373,29.311499999999995,48.06863333333334
b0375,2.6636333333333333,11.940763333333331
b0376,75.42469999999999,82.1456
b0377,34.65996666666667,45.59596666666667
b0378,54.35333333333333,63.61306666666667
b0379,4.858696666666666,18.9116
b0380,76.35523333333333,122.77723333333334
b0381,119.48599999999999,335.124
b0382,232.24433333333332,260.16433333333333
b0383,29.055433333333337,28.386133333333333
b0384,98.20210000000002,45.653166666666664
b0385,5.764766666666667,5.726006666666667
b0386,205.76,164.91933333333336
b0387,71.38673333333334,137.144
